Year,Industry_name_NZSIOC,Additions to fixed assets,Closing stocks,Current assets,Current liabilities,Current ratio,Depreciation,Disposals of fixed assets,Fixed tangible assets,"Government funding, grants and subsidies",Indirect taxes,Interest and donations,"Interest, dividends and donations",Liabilities structure,Margin on sales of goods for resale,Non-operating expenses,Non-operating income,Opening stocks,Other Purchases and operating expenses,Other assets,Other liabilities,Other purchases and operating expenses,Purchases and other operating expenses,Purchases of goods bought for resale,Quick ratio,Redundancy and severance,Return on equity,Return on total assets,Salaries and wages paid,Sales of goods not further processed,Sales of other goods and services,"Sales, government funding, grants and subsidies",Shareholders funds or owners equity,Surplus before income tax,Surplus per employee count,Total assets,Total equity and liabilities,Total expenditure,Total income,Total income per employee count
2013,Dairy Cattle Farming,4555.777777777777,7025.0,10369.0,7919.0,131.0,574.0,1193.7777777777778,34113.0,217.22222222222223,150.0,1632.0,239.0,40.0,24.88888888888889,37.0,415.0,7163.0,73051.625,14363.0,27606.0,65072.0,7293.0,7564.0,42.0,0.0,5.0,2.0,1229.0,10053.0,96794.44444444444,11607.0,23319.0,1208.0,49700.0,58844.0,58844.0,10914.0,12261.0,504200.0
2013,Horticulture and Fruit Growing,4555.777777777777,292.0,1704.0,2457.0,69.0,162.0,1193.7777777777778,6682.0,217.22222222222223,31.0,200.0,47.0,41.0,24.88888888888889,20.0,77.0,292.0,73051.625,1269.0,3274.0,65072.0,1941.0,7564.0,57.0,0.0,7.0,3.0,565.0,10053.0,96794.44444444444,3072.0,3925.0,276.0,12400.0,9656.0,9656.0,2921.0,3196.0,144200.0
2013,Manufacturing,3924.0,12367.0,32192.0,25996.0,124.0,2394.0,1355.0,22923.0,44.0,3153.0,1100.0,677.0,46.0,27.0,2038.0,801.0,12071.0,73051.625,15438.0,12206.0,65072.0,5115.944444444444,7612.0,76.0,60.0,10.0,4.0,12620.0,10444.0,84804.0,8399.555555555555,32352.0,3078.0,14100.0,70554.0,70554.0,93988.0,96770.0,444500.0
2014,Dairy Cattle Farming,4555.777777777777,7201.0,11280.0,8497.0,133.0,592.0,1193.7777777777778,34438.0,217.22222222222223,152.0,1574.0,153.0,40.0,24.88888888888889,55.0,331.0,7156.0,73051.625,13647.0,27207.0,65072.0,8174.0,7564.0,48.0,0.0,13.0,5.0,1412.0,10053.0,96794.44444444444,14395.0,23662.0,2965.0,115700.0,59366.0,59366.0,11959.0,14879.0,580800.0
2014,Horticulture and Fruit Growing,4555.777777777777,302.0,1848.0,2606.0,71.0,159.0,1193.7777777777778,6759.0,217.22222222222223,32.0,191.0,45.0,41.0,24.88888888888889,22.0,112.0,275.0,73051.625,1287.0,3258.0,65072.0,1976.0,7564.0,59.0,0.0,13.0,5.0,574.0,10053.0,96794.44444444444,3284.0,4029.0,513.0,21800.0,9893.0,9893.0,2954.0,3441.0,145900.0
2014,Manufacturing,3925.0,13048.0,32283.0,26901.0,120.0,2450.0,999.0,24125.0,40.0,3096.0,1181.0,559.0,45.0,28.0,1012.0,1194.0,12310.0,72272.0,17080.0,13483.0,65072.0,5115.944444444444,7718.0,72.0,63.0,13.0,6.0,13073.0,10676.0,91764.0,8399.555555555555,33103.0,4169.0,18800.0,73488.0,73488.0,100802.0,104233.0,471200.0
2015,Dairy Cattle Farming,4555.777777777777,6740.0,10732.0,9306.0,115.0,665.0,1193.7777777777778,38317.0,217.22222222222223,167.0,1726.0,172.0,36.0,24.88888888888889,52.0,416.0,6893.0,73051.625,13289.0,30330.0,65072.0,8048.0,7564.0,43.0,0.0,4.0,1.0,1367.0,10053.0,96794.44444444444,12420.0,22702.0,830.0,30500.0,62338.0,62338.0,12025.0,13007.0,478200.0
2015,Horticulture and Fruit Growing,4555.777777777777,298.0,1916.0,2724.0,70.0,159.0,1193.7777777777778,6860.0,217.22222222222223,32.0,191.0,56.0,43.0,24.88888888888889,7.0,124.0,285.0,73051.625,1366.0,3070.0,65072.0,2069.0,7564.0,59.0,0.0,11.0,5.0,600.0,10053.0,96794.44444444444,3329.0,4347.0,462.0,19900.0,10142.0,10142.0,3059.0,3508.0,151000.0
2015,Manufacturing,4640.0,12462.0,32744.0,24649.0,133.0,2503.0,920.0,26210.0,53.0,3376.0,1304.0,499.0,46.0,23.0,1086.0,1076.0,12996.0,65944.0,16413.0,16327.0,65072.0,5115.944444444444,7737.0,82.0,50.0,16.0,7.0,13687.0,10013.0,89949.0,8399.555555555555,34392.0,5419.0,23800.0,75368.0,75368.0,95636.0,101590.0,446500.0
2016,Dairy Cattle Farming,4555.777777777777,6047.0,10234.0,9831.0,104.0,659.0,1193.7777777777778,40075.0,217.22222222222223,174.0,1706.0,225.0,34.0,24.88888888888889,36.0,380.0,6135.0,73051.625,13542.0,32003.0,65072.0,6835.0,7564.0,43.0,0.0,-4.0,-1.0,1244.0,10053.0,96794.44444444444,9327.0,22018.0,-810.0,-31400.0,63851.0,63851.0,10654.0,9932.0,384400.0
2016,Horticulture and Fruit Growing,4555.777777777777,292.0,2067.0,2872.0,72.0,168.0,1193.7777777777778,7334.0,217.22222222222223,33.0,191.0,58.0,44.0,24.88888888888889,22.0,175.0,284.0,73051.625,1669.0,3343.0,65072.0,2221.0,7564.0,62.0,0.0,13.0,6.0,659.0,10053.0,96794.44444444444,3701.0,4855.0,648.0,26000.0,11070.0,11070.0,3294.0,3934.0,157700.0
2016,Manufacturing,4593.0,12116.0,33726.0,23822.0,142.0,2631.0,1185.0,26664.0,65.0,3490.0,1161.0,481.0,47.0,23.0,1383.0,828.0,12517.0,64726.0,17742.0,17621.0,65072.0,5115.944444444444,7147.0,91.0,56.0,17.0,8.0,14135.0,9257.0,90706.0,8399.555555555555,36690.0,6262.0,27800.0,78132.0,78132.0,94674.0,101337.0,449500.0
2017,Dairy Cattle Farming,4555.777777777777,6982.0,11480.0,10047.0,114.0,612.0,1193.7777777777778,39504.0,217.22222222222223,168.0,1575.0,193.0,36.0,24.88888888888889,41.0,273.0,6887.0,73051.625,13274.0,31242.0,65072.0,7091.0,7564.0,45.0,0.0,7.0,2.0,1321.0,10053.0,96794.44444444444,11789.0,22970.0,1543.0,63300.0,64258.0,64258.0,10808.0,12256.0,503000.0
2017,Horticulture and Fruit Growing,4555.777777777777,312.0,2182.0,3030.0,72.0,184.0,1193.7777777777778,8073.0,217.22222222222223,34.0,179.0,72.0,46.0,24.88888888888889,12.0,158.0,303.0,73051.625,1959.0,3536.0,65072.0,2320.0,7564.0,62.0,0.0,14.0,6.0,715.0,10053.0,96794.44444444444,3999.0,5648.0,794.0,31800.0,12214.0,12214.0,3444.0,4228.0,169200.0
2017,Manufacturing,4457.0,12868.0,36546.0,26916.0,136.0,2620.0,979.0,27750.0,64.0,3528.0,889.0,1036.0,46.0,24.0,634.0,793.0,12253.0,68741.0,18122.0,17422.0,65072.0,5115.944444444444,7118.0,88.0,42.0,20.0,9.0,14549.0,9369.0,93630.0,8399.555555555555,38081.0,7430.0,32500.0,82418.0,82419.0,98077.0,104892.0,459200.0
2018,Dairy Cattle Farming,4555.777777777777,6388.0,11749.0,10559.0,111.0,633.0,1193.7777777777778,41237.0,217.22222222222223,172.0,1568.0,181.0,35.0,24.88888888888889,35.0,345.0,6521.0,73051.625,11738.0,31693.0,65072.0,7807.0,7564.0,51.0,0.0,8.0,3.0,1442.0,10053.0,96794.44444444444,13011.0,22473.0,1746.0,69200.0,64724.0,64724.0,11658.0,13537.0,536400.0
2018,Horticulture and Fruit Growing,4555.777777777777,333.0,2376.0,3227.0,74.0,202.0,1193.7777777777778,8753.0,217.22222222222223,33.0,181.0,103.0,46.0,24.88888888888889,14.0,211.0,336.0,73051.625,2132.0,3901.0,65072.0,2421.0,7564.0,63.0,0.0,14.0,7.0,761.0,10053.0,96794.44444444444,4164.0,6133.0,863.0,35000.0,13261.0,13261.0,3613.0,4478.0,181600.0
2018,Manufacturing,5475.0,14101.0,39827.0,28047.0,142.0,2847.0,1953.0,29141.0,86.0,3675.0,840.0,546.0,47.0,24.0,1000.0,606.0,12726.0,74055.0,17050.0,17255.0,65072.0,5115.944444444444,7760.0,92.0,22.0,19.0,9.0,15209.0,10158.0,100365.0,8399.555555555555,40717.0,7750.0,33100.0,86018.0,86019.0,105387.0,111761.0,477100.0
2019,Dairy Cattle Farming,4555.777777777777,6370.0,11904.0,11350.0,105.0,670.0,1193.7777777777778,43094.0,217.22222222222223,184.0,1597.0,97.0,33.0,24.88888888888889,34.0,299.0,6416.0,73051.625,10926.0,32697.0,65072.0,8237.0,7564.0,49.0,0.0,7.0,2.0,1481.0,10053.0,96794.44444444444,13377.0,21877.0,1523.0,59100.0,65924.0,65924.0,12204.0,13773.0,534300.0
2019,Horticulture and Fruit Growing,4555.777777777777,363.0,2617.0,3460.0,76.0,231.0,1193.7777777777778,9749.0,217.22222222222223,36.0,201.0,132.0,47.0,24.88888888888889,19.0,185.0,339.0,73051.625,2551.0,4505.0,65072.0,2619.0,7564.0,65.0,0.0,12.0,6.0,816.0,10053.0,96794.44444444444,4406.0,6952.0,825.0,32200.0,14917.0,14917.0,3922.0,4723.0,184100.0
2019,Manufacturing,5253.0,15068.0,41860.0,29170.0,144.0,2967.0,1055.0,30618.0,100.0,3811.0,872.0,575.0,47.0,23.0,634.0,1090.0,14025.0,78567.0,18580.0,19232.0,65072.0,5115.944444444444,8269.0,92.0,33.0,20.0,9.0,15763.0,10736.0,105742.0,8399.555555555555,42655.0,8403.0,35600.0,91057.0,91057.0,110882.0,118243.0,501300.0
2020,Dairy Cattle Farming,4555.777777777777,6445.0,12477.0,11826.0,106.0,680.0,1193.7777777777778,44788.0,217.22222222222223,189.0,1494.0,118.0,35.0,24.88888888888889,57.0,252.0,6448.0,73051.625,11239.0,32696.0,65072.0,8479.0,7564.0,51.0,0.0,10.0,3.0,1621.0,10053.0,96794.44444444444,14441.0,23981.0,2287.0,90500.0,68503.0,68503.0,12520.0,14810.0,585800.0
2020,Horticulture and Fruit Growing,4555.777777777777,365.0,2745.0,3447.0,80.0,264.0,1193.7777777777778,10530.0,217.22222222222223,36.0,205.0,164.0,48.0,24.88888888888889,23.0,215.0,374.0,73051.625,2656.0,4851.0,65072.0,2748.0,7564.0,69.0,0.0,12.0,6.0,827.0,10053.0,96794.44444444444,4652.0,7634.0,919.0,35500.0,15932.0,15932.0,4102.0,5031.0,194000.0
2020,Manufacturing,4534.0,15796.0,42283.0,29464.0,144.0,3645.0,1054.0,30901.0,333.0,3804.0,1040.0,427.0,44.0,26.0,2080.0,532.0,14961.0,81234.0,22381.0,23719.0,65072.0,5115.944444444444,7776.0,90.0,46.0,12.0,5.0,16487.0,10463.0,108644.0,8399.555555555555,42383.0,5169.0,21400.0,95565.0,95565.0,116066.0,120400.0,497900.0
2021,Dairy Cattle Farming,4555.777777777777,6234.0,12634.0,12036.0,105.0,675.0,1193.7777777777778,44465.0,217.22222222222223,186.0,1238.0,153.0,37.0,24.88888888888889,61.0,295.0,6299.0,73051.625,11286.0,31086.0,65072.0,8838.0,7564.0,53.0,0.0,12.0,4.0,1719.0,10053.0,96794.44444444444,15293.0,25262.0,2957.0,116300.0,68385.0,68385.0,12717.0,15740.0,619200.0
2021,Horticulture and Fruit Growing,4555.777777777777,356.0,2878.0,3615.0,80.0,278.0,1193.7777777777778,11072.0,217.22222222222223,35.0,181.0,205.0,49.0,24.88888888888889,22.0,264.0,353.0,73051.625,2841.0,4975.0,65072.0,2970.0,7564.0,70.0,0.0,12.0,6.0,887.0,10053.0,96794.44444444444,4925.0,8200.0,1023.0,38700.0,16790.0,16790.0,4374.0,5394.0,204000.0
2021,Manufacturing,4201.0,15825.0,45098.0,30837.0,146.0,3731.0,1244.0,31093.0,1170.0,3204.0,893.0,281.0,46.0,26.0,1650.0,1046.0,15309.0,78874.0,22530.0,22750.0,65072.0,5115.944444444444,6939.0,95.0,67.0,13.0,6.0,16647.0,9361.0,105546.0,8399.555555555555,45135.0,5983.0,25200.0,98721.0,98721.0,111937.0,117404.0,495000.0
